problem_type,goal_check_delay,problem_number,execution_time,algorithm_name,solution_found
complex,0,49,14106.4,Recursive async,True
complex,0,49,18.42,Synchronization with thread director,True
complex,0,49,4.49,Using C++ async,True
complex,0,49,7.5,Using C++ for_each,True
complex,0,49,127.2,Recursive C++ for_each,True
complex,0,49,34.1,Sequential,True
complex,0,49,6.43,C++ any_of,True
complex,0,49,4.75,Using C++ tasks,True
complex,0,48,20.93,Synchronization with thread director,True
complex,0,48,4.94,Using C++ tasks,True
complex,0,48,19.09,Sequential,True
complex,0,48,2.95,C++ any_of,True
complex,0,48,38658.2,Recursive async,True
complex,0,48,334.4,Recursive C++ for_each,True
complex,0,48,3.25,Using C++ async,True
complex,0,48,3.2,Using C++ for_each,True
complex,0,45,5.19,C++ any_of,True
complex,0,45,256.2,Synchronization with thread director,True
complex,0,45,315.04,Recursive C++ for_each,True
complex,0,45,7.67,Using C++ async,True
complex,0,45,16650.6,Recursive async,True
complex,0,45,61.12,Sequential,True
complex,0,45,11.59,Using C++ tasks,True
complex,0,45,15.9,Using C++ for_each,True
complex,0,43,14.15,Using C++ tasks,True
complex,0,43,304.13,Recursive C++ for_each,True
complex,0,43,6.42,C++ any_of,True
complex,0,43,309.94,Synchronization with thread director,True
complex,0,43,14.03,Using C++ async,True
complex,0,43,69.05,Sequential,True
complex,0,43,17139.9,Recursive async,True
complex,0,43,6.97,Using C++ for_each,True
complex,0,41,4.04,Sequential,True
complex,0,41,15.02,Synchronization with thread director,True
complex,0,41,762.72,Recursive C++ for_each,True
complex,0,41,0.85,Using C++ async,True
complex,0,41,228.83,Recursive async,True
complex,0,41,0.51,Using C++ for_each,True
complex,0,41,0.68,Using C++ tasks,True
complex,0,41,65.94,C++ any_of,True
complex,0,39,253.14,Sequential,True
complex,0,39,62.04,Using C++ for_each,True
complex,0,39,820.99,Recursive C++ for_each,True
complex,0,39,65.01,C++ any_of,True
complex,0,39,108.99,Synchronization with thread director,True
complex,0,39,61.81,Using C++ tasks,True
complex,0,39,65.62,Using C++ async,True
complex,0,39,16447.9,Recursive async,True
complex,0,38,1399.02,Sequential,False
complex,0,38,30799.4,Recursive async,False
complex,0,38,315.11,Using C++ async,False
complex,0,38,312.24,Using C++ tasks,False
complex,0,38,305.23,Using C++ for_each,False
complex,0,38,1562.74,Recursive C++ for_each,False
complex,0,38,598.71,Synchronization with thread director,False
complex,0,38,310.51,C++ any_of,False
complex,0,36,5.37,Using C++ async,True
complex,0,36,589.18,Recursive async,True
complex,0,36,2.12,Using C++ tasks,True
complex,0,36,1.53,C++ any_of,True
complex,0,36,1.18,Recursive C++ for_each,True
complex,0,36,313.95,Synchronization with thread director,True
complex,0,36,37.9,Sequential,True
complex,0,36,1.84,Using C++ for_each,True
complex,0,44,6.59,C++ any_of,True
complex,0,44,6.73,Using C++ async,True
complex,0,44,6.29,Using C++ tasks,True
complex,0,44,5.75,Synchronization with thread director,True
complex,0,44,29526.4,Recursive async,True
complex,0,44,750.7,Recursive C++ for_each,True
complex,0,44,5.81,Using C++ for_each,True
complex,0,44,25.26,Sequential,True
complex,0,35,919.41,Recursive C++ for_each,True
complex,0,35,19.9,Using C++ tasks,True
complex,0,35,30362.3,Recursive async,True
complex,0,35,9.88,Using C++ for_each,True
complex,0,35,11.19,Using C++ async,True
complex,0,35,59.14,Synchronization with thread director,True
complex,0,35,111.95,Sequential,True
complex,0,35,10.19,C++ any_of,True
complex,0,46,57.44,Synchronization with thread director,True
complex,0,46,3.77,Using C++ async,True
complex,0,46,32155.1,Recursive async,True
complex,0,46,2.12,Using C++ for_each,True
complex,0,46,1.36,C++ any_of,True
complex,0,46,1.9,Using C++ tasks,True
complex,0,46,274.3,Recursive C++ for_each,True
complex,0,46,7.0,Sequential,True
complex,0,34,374.7,Sequential,True
complex,0,34,96.36,Synchronization with thread director,True
complex,0,34,1114.24,Recursive C++ for_each,True
complex,0,34,29179.3,Recursive async,True
complex,0,34,46.99,C++ any_of,True
complex,0,34,44.05,Using C++ async,True
complex,0,34,62.89,Using C++ for_each,True
complex,0,34,59.09,Using C++ tasks,True
complex,0,32,9.0,Using C++ async,True
complex,0,32,9.25,C++ any_of,True
complex,0,32,7.71,Using C++ for_each,True
complex,0,32,103.88,Synchronization with thread director,True
complex,0,32,23.22,Using C++ tasks,True
complex,0,32,49.71,Sequential,True
complex,0,32,31460.9,Recursive async,True
complex,0,32,354.52,Recursive C++ for_each,True
complex,0,31,0.91,Sequential,True
complex,0,31,0.4,C++ any_of,True
complex,0,31,516.93,Recursive C++ for_each,True
complex,0,31,65.51,Using C++ for_each,True
complex,0,31,0.65,Using C++ async,True
complex,0,31,191.92,Recursive async,True
complex,0,31,0.51,Synchronization with thread director,True
complex,0,31,4.92,Using C++ tasks,True
complex,0,30,22818.7,Recursive async,True
complex,0,30,2.08,Using C++ tasks,True
complex,0,30,109.92,Synchronization with thread director,True
complex,0,30,923.77,Recursive C++ for_each,True
complex,0,30,2.0,C++ any_of,True
complex,0,30,8.72,Using C++ async,True
complex,0,30,7.75,Sequential,True
complex,0,30,1.84,Using C++ for_each,True
complex,0,10,1506.72,Recursive C++ for_each,False
complex,0,10,24657.1,Recursive async,False
complex,0,10,243.78,Using C++ tasks,False
complex,0,10,586.13,Synchronization with thread director,False
complex,0,10,1106.77,Sequential,False
complex,0,10,214.24,C++ any_of,False
complex,0,10,232.17,Using C++ async,False
complex,0,10,225.3,Using C++ for_each,False
complex,0,9,246.46,Sequential,True
complex,0,9,17.5,C++ any_of,True
complex,0,9,501.09,Synchronization with thread director,True
complex,0,9,22.32,Using C++ for_each,True
complex,0,9,19.27,Using C++ async,True
complex,0,9,16.94,Using C++ tasks,True
complex,0,9,1503.0,Recursive async,True
complex,0,9,191.55,Recursive C++ for_each,True
complex,0,12,34225.9,Recursive async,True
complex,0,12,1.87,Using C++ for_each,True
complex,0,12,2.0,Using C++ tasks,True
complex,0,12,1.38,Using C++ async,True
complex,0,12,5.78,Sequential,True
complex,0,12,2.01,Synchronization with thread director,True
complex,0,12,158.5,Recursive C++ for_each,True
complex,0,12,1.62,C++ any_of,True
complex,0,47,23.08,Using C++ tasks,True
complex,0,47,23.54,Using C++ async,True
complex,0,47,17.95,C++ any_of,True
complex,0,47,22.43,Using C++ for_each,True
complex,0,47,222.25,Sequential,True
complex,0,47,114.99,Recursive C++ for_each,True
complex,0,47,201.44,Synchronization with thread director,True
complex,0,47,23650.8,Recursive async,True
complex,0,11,2.27,Using C++ for_each,True
complex,0,11,34890.3,Recursive async,True
complex,0,11,2.61,Using C++ tasks,True
complex,0,11,2.86,C++ any_of,True
complex,0,11,105.53,Synchronization with thread director,True
complex,0,11,17.35,Sequential,True
